class,model,kernel,mmd²,p_value,effect_size,params
661,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[12.4465, -0.1216,  0.0480,  ..., -0.0621,  0.1593, -0.0949],
        [-0.1217, 11.2027, -2.4178,  ...,  0.3062, -1.2913,  1.5990],
        [ 0.0481, -2.4178, 12.5231,  ...,  0.7671,  0.5006,  0.3304],
        ...,
        [-0.0619,  0.3063,  0.7671,  ..., 10.4878,  0.9065, -0.7846],
        [ 0.1595, -1.2912,  0.5006,  ...,  0.9065, 10.2576,  1.0385],
        [-0.0950,  1.5990,  0.3303,  ..., -0.7848,  1.0385, 11.8436]],
       device='cuda:0')}"
661,sd_15,mixed_kernel,0.08920562267303467,0.0019960079807788134,0.08920562267303467,"{'gamma_rbf': tensor(0.0015, device='cuda:0'), 'sigma_lap': tensor(395.7879, device='cuda:0'), 'alpha': 0.5}"
661,sd_15,w2_ot,15.593092411944134,,,{}
857,bgan,rbf_kernel,0.11732077598571777,0.0019960079807788134,9.476471313973889e-05,"{'gamma': tensor(0.0008, device='cuda:0')}"
857,bgan,laplacian_kernel,0.07947969436645508,0.0019960079807788134,0.00014639212167821825,"{'sigma': tensor(542.9233, device='cuda:0')}"
857,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 4.5634, -0.2520, -0.3868,  ...,  0.6109, -0.0829,  0.2646],
        [-0.2520,  3.8645, -0.1085,  ...,  0.2585,  0.1226,  0.0878],
        [-0.3868, -0.1085,  3.5675,  ..., -0.3984, -0.0412,  0.1338],
        ...,
        [ 0.6110,  0.2585, -0.3984,  ...,  4.3044,  0.0848,  0.0464],
        [-0.0829,  0.1226, -0.0411,  ...,  0.0848,  4.5301,  0.2427],
        [ 0.2646,  0.0878,  0.1338,  ...,  0.0463,  0.2426,  4.0989]],
       device='cuda:0')}"
857,bgan,mixed_kernel,0.09840023517608643,0.0019960079807788134,0.09840023517608643,"{'gamma_rbf': tensor(0.0008, device='cuda:0'), 'sigma_lap': tensor(542.9233, device='cuda:0'), 'alpha': 0.5}"
857,bgan,w2_ot,22.342667058431907,,,{}
857,midj,rbf_kernel,0.05876457691192627,0.0019960079807788134,4.7466513933613896e-05,"{'gamma': tensor(0.0008, device='cuda:0')}"
857,midj,laplacian_kernel,0.034954965114593506,0.0019960079807788134,6.438288255594671e-05,"{'sigma': tensor(542.9233, device='cuda:0')}"
857,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.7714, -0.7885,  0.1206,  ...,  0.6434, -0.1376, -0.0718],
        [-0.7885,  4.5944, -0.2011,  ...,  0.3146, -0.1879, -0.0555],
        [ 0.1206, -0.2011,  4.0599,  ...,  0.2013, -0.3516, -0.0625],
        ...,
        [ 0.6434,  0.3146,  0.2012,  ...,  5.1226, -0.7422, -0.5804],
        [-0.1376, -0.1879, -0.3515,  ..., -0.7422,  4.1514,  0.4560],
        [-0.0718, -0.0555, -0.0625,  ..., -0.5804,  0.4560,  3.7740]],
       device='cuda:0')}"
857,midj,mixed_kernel,0.046859800815582275,0.0019960079807788134,0.046859800815582275,"{'gamma_rbf': tensor(0.0008, device='cuda:0'), 'sigma_lap': tensor(542.9233, device='cuda:0'), 'alpha': 0.5}"
857,midj,w2_ot,22.610772697130304,,,{}
857,sd_15,rbf_kernel,0.0778343677520752,0.0019960079807788134,6.286994903348386e-05,"{'gamma': tensor(0.0008, device='cuda:0')}"
857,sd_15,laplacian_kernel,0.05562323331832886,0.0019960079807788134,0.00010245136945741251,"{'sigma': tensor(542.9233, device='cuda:0')}"
857,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 4.9079, -0.0073,  0.2417,  ...,  0.4555,  0.2918, -0.6443],
        [-0.0073,  4.9344, -0.2638,  ..., -0.2258,  0.2230, -0.3149],
        [ 0.2417, -0.2638,  4.2942,  ..., -0.1310,  0.4685, -0.0061],
        ...,
        [ 0.4555, -0.2258, -0.1310,  ...,  5.2796, -0.0208,  0.4724],
        [ 0.2918,  0.2230,  0.4685,  ..., -0.0208,  4.7912, -0.0429],
        [-0.6443, -0.3148, -0.0061,  ...,  0.4725, -0.0428,  4.9106]],
       device='cuda:0')}"
857,sd_15,mixed_kernel,0.06672871112823486,0.0019960079807788134,0.06672871112823486,"{'gamma_rbf': tensor(0.0008, device='cuda:0'), 'sigma_lap': tensor(542.9233, device='cuda:0'), 'alpha': 0.5}"
857,sd_15,w2_ot,20.856685439317733,,,{}
489,bgan,rbf_kernel,0.16111981868743896,0.0019960079807788134,9.180883353110403e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
489,bgan,laplacian_kernel,0.09190177917480469,0.0019960079807788134,0.0001445742091163993,"{'sigma': tensor(635.6720, device='cuda:0')}"
