class,model,metric,distance,p_value,effect_size,params
489,sd_15,rbf_kernel,0.04671156406402588,0.0019960079807788134,0.17472626268863678,3.7405354976654053
489,sd_15,laplacian_kernel,0.05182915925979614,0.0019960079807788134,0.01225674245506525,2.0563619136810303
489,sd_15,w2_ot,0.22006961724229826,,,
489,sd_15,fd,0.02780972421169281,,,
969,baseline,rbf_kernel,0.007938861846923828,0.04391217604279518,0.02364681288599968,2.9786150455474854
969,baseline,laplacian_kernel,0.0024272799491882324,0.08582834154367447,0.001080382033251226,1.4988951683044434
969,baseline,w2_ot,0.159973564850678,,,
969,baseline,fd,0.005485117435455322,,,
969,bgan,rbf_kernel,0.013207077980041504,0.011976048350334167,0.03933880105614662,2.9786150455474854
969,bgan,laplacian_kernel,0.08310079574584961,0.0019960079807788134,0.03698815405368805,1.4988951683044434
969,bgan,w2_ot,0.15852483347459423,,,
969,bgan,fd,0.007813647389411926,,,
969,midj,rbf_kernel,0.049443602561950684,0.0019960079807788134,0.147273451089859,2.9786150455474854
969,midj,laplacian_kernel,0.022256195545196533,0.0019960079807788134,0.009906230494379997,1.4988951683044434
969,midj,w2_ot,0.21922859170259476,,,
969,midj,fd,0.030237287282943726,,,
969,sd_15,rbf_kernel,0.036611080169677734,0.0019960079807788134,0.10905031114816666,2.9786150455474854
969,sd_15,laplacian_kernel,0.04020780324935913,0.0019960079807788134,0.017896488308906555,1.4988951683044434
969,sd_15,w2_ot,0.2376733873555757,,,
969,sd_15,fd,0.04044780135154724,,,
177,baseline,rbf_kernel,-0.0005640983581542969,0.5429141521453857,-0.002603309927508235,4.614993095397949
177,baseline,laplacian_kernel,-0.000476837158203125,0.5728542804718018,-0.0002459614188410342,1.3923600912094116
177,baseline,w2_ot,0.12676782016076027,,,
177,baseline,fd,0.0015991777181625366,,,
177,bgan,rbf_kernel,0.013608098030090332,0.0019960079807788134,0.06280127912759781,4.614993095397949
177,bgan,laplacian_kernel,0.15186285972595215,0.0019960079807788134,0.07833366841077805,1.3923600912094116
177,bgan,w2_ot,0.13804214249136817,,,
177,bgan,fd,0.005000874400138855,,,
177,midj,rbf_kernel,0.09567558765411377,0.0019960079807788134,0.4415421783924103,4.614993095397949
177,midj,laplacian_kernel,0.07385861873626709,0.0019960079807788134,0.03809763863682747,1.3923600912094116
177,midj,w2_ot,0.28440846022826605,,,
177,midj,fd,0.061690136790275574,,,
177,sd_15,rbf_kernel,0.04504036903381348,0.0019960079807788134,0.20786099135875702,4.614993095397949
177,sd_15,laplacian_kernel,0.039710402488708496,0.0019960079807788134,0.020483357831835747,1.3923600912094116
177,sd_15,w2_ot,0.16962709452177943,,,
177,sd_15,fd,0.01898113638162613,,,
541,baseline,rbf_kernel,0.007036447525024414,0.049900200217962265,0.021711302921175957,3.0855488777160645
541,baseline,laplacian_kernel,0.0016467571258544922,0.14371258020401,0.0005449256859719753,1.7383856773376465
541,baseline,w2_ot,0.15986696951987464,,,
541,baseline,fd,0.004622399806976318,,,
541,bgan,rbf_kernel,0.016994714736938477,0.009980039671063423,0.052438024431467056,3.0855488777160645
541,bgan,laplacian_kernel,0.08357322216033936,0.0019960079807788134,0.02765507623553276,1.7383856773376465
541,bgan,w2_ot,0.1779840946025656,,,
541,bgan,fd,0.01364964246749878,,,
541,midj,rbf_kernel,0.04729306697845459,0.0019960079807788134,0.14592507481575012,3.0855488777160645
541,midj,laplacian_kernel,0.04597562551498413,0.0019960079807788134,0.015213718637824059,1.7383856773376465
541,midj,w2_ot,0.21745872318026127,,,
541,midj,fd,0.024919718503952026,,,
541,sd_15,rbf_kernel,0.07398784160614014,0.0019960079807788134,0.22829310595989227,3.0855488777160645
541,sd_15,laplacian_kernel,0.03346008062362671,0.0019960079807788134,0.011072220280766487,1.7383856773376465
541,sd_15,w2_ot,0.24923012123692212,,,
541,sd_15,fd,0.045383304357528687,,,
000,baseline,rbf_kernel,-0.002189040184020996,0.7245509028434753,-0.010213184170424938,4.665599346160889
000,baseline,laplacian_kernel,-0.0009122490882873535,0.71257483959198,-0.0004911613068543375,1.3628393411636353
